date_minus_time,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
2014-04-15,6.0,-1.0,0.3333333333333333,0.0018079959256429832,321.80199980735784,0.0,0.0,3100.845,52.448,,,,0.0,28.393,15.486,0.0,,,
2014-04-16,6.0,0.5,0.25,0.05852007469654527,742.9860000610349,0.0,0.0,5338.439,13.135,,,,0.0,55.264,0.0,0.0,,,
2014-04-17,6.2,0.0,0.4,0.053160014005602274,801.4089996814732,0.0,1.0,12956.375,50.411,,,,77.54299999999999,85.616,18.177,0.0,,,
2014-04-18,6.5,-1.0,0.0,0.02083333333333331,106.7050001621246,0.0,0.0,102.98500000000001,39.213,,,,0.0,28.42,0.0,0.0,,,
2014-04-19,6.75,0.25,1.0,0.0017390289449112962,258.9860002994537,0.0,1.0,131.96300000000002,78.107,,,,0.0,48.378,0.0,0.0,,,
2014-04-20,7.5,-1.0,0.5,0.007997782446311863,863.2370004653925,0.0,1.0,430.852,211.953,,,169.699,0.0,50.403000000000006,0.0,0.0,,,
2014-04-21,7.0,0.25,1.0,0.04212783797729616,596.8669996261602,1.0,0.0,1865.8689999999997,322.493,,,,0.0,33.201,18.149,0.0,,,
2014-04-22,7.0,-0.4,0.6,0.007632545771931958,727.9210000038145,1.0,1.0,1740.1560000000004,142.346,,,,0.0,42.314,198.96600000000004,0.0,,,
2014-04-23,7.0,-1.0,0.3333333333333333,0.04466630042821724,657.5240001678465,0.0,0.0,517.3550000000001,50.783,,,,0.0,46.382,14.192,47.435,,,
2014-04-24,7.333333333333333,0.3333333333333333,1.0,0.06470588235294111,620.213000059128,0.0,0.0,383.367,75.65,,,,32.423,33.272,0.0,94.266,,,
2014-04-25,8.0,0.8,1.4,0.00590569561157796,805.6799995899206,0.0,0.0,1985.5639999999999,511.51599999999996,,,,,73.43599999999999,0.0,,,,
2014-04-26,8.0,-1.0,1.0,0.13349753694581282,184.45900034904489,0.0,1.0,9402.421000000004,29.208000000000002,,,,,15.087,0.0,,,,
2014-04-27,7.666666666666667,0.0,1.0,0.003124999999999998,439.1410000324258,0.0,,233.617,162.703,,,,,42.509,0.0,,,,
2014-04-28,,,,0.0,56.5980002880097,1.0,,56.04599999999999,0.0,,,,,0.0,0.0,,,,
2014-04-29,,,,0.0037037037037037,170.51099991798392,,,200.214,27.243000000000002,,,,,9.133999999999999,0.0,,,,
2014-04-30,7.0,1.0,1.0,0.05674603174603173,172.0380001068115,,,145.4,8.086,,,,,18.492,0.0,,,,
2014-05-01,6.0,0.0,0.5,0.08296407075071077,302.8090000152587,,,133.46400000000003,0.0,,,,,30.71,179.511,,,,
2014-05-02,6.666666666666667,0.3333333333333333,1.0,0.012500000000000002,288.2680001258849,,,240.86899999999994,7.0360000000000005,,,,,51.397999999999996,0.0,,,,
2014-05-03,6.8,0.2,1.0,0.0038194444444444443,694.1940002441409,,,489.03700000000003,117.47999999999999,,,,,66.292,21.135,,,,
2014-05-04,6.8,0.0,0.8,0.0006944444444444441,354.13800048828114,,,209.41900000000004,59.025999999999996,,,,,54.525999999999996,31.135,,,,
2014-05-05,7.0,-1.0,1.0,0.006493506493506493,199.83100032806388,,,4698.053999999999,121.70400000000001,,,,,15.126000000000001,,,,,
