mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
7.0,-1.2,0.8,0.07998620207306051,10526.846000194553,0.0,0.0,3369.030999999999,3336.592,1976.1380000000001,94.093,0.0,0.0,51.452,596.807,34.234,0.0,214.648,
7.25,-0.75,0.75,0.07224906147031816,11750.809000968928,0.0,0.0,302.4459999999999,6595.0830000000005,2186.482,0.0,0.0,0.0,79.033,264.432,5.031000000000001,0.0,352.39199999999994,
8.0,-1.25,1.0,0.014021328954370723,2005.7509992122657,0.0,0.0,447.41499999999996,1096.7949999999998,249.392,82.413,0.0,0.0,94.209,34.502,0.0,0.0,0.0,
7.2,-1.2,0.6,0.08388731446988418,17985.447999238968,1.0,1.0,961.5809999999994,6486.284000000003,6265.556,89.32300000000001,0.0,0.0,145.09600000000003,2921.985,29.104000000000003,0.0,986.014,
6.4,0.0,0.8,0.09011215278072526,13585.222998380666,8.0,1.0,1596.3559999999995,6224.231000000002,944.5219999999999,13.043,0.0,0.0,110.415,4428.21,8.363,0.0,279.79299999999995,
7.2,0.75,0.5,0.11611033612712218,12522.47499895096,0.0,1.0,923.6130000000004,5175.016000000004,426.73400000000004,0.0,0.0,0.0,40.78399999999999,1912.8520000000003,0.0,0.0,223.587,
6.6,-0.4,0.6,0.05691785667209681,15018.480000734338,2.0,0.0,552.201,11853.339,142.241,0.0,0.0,0.0,53.763000000000005,2107.146,0.0,0.0,49.718,
6.8,-0.8,0.8,0.09403300669497609,13490.728999614706,1.0,0.0,1860.8980000000006,5341.657,774.354,119.163,0.0,0.0,47.788999999999994,1993.922,63.873999999999995,0.0,88.67999999999999,
7.8,-0.2,1.0,0.09943191172384025,13293.2480006218,1.0,0.0,946.1899999999997,2728.259999999999,469.274,95.629,29.084,0.0,31.482,396.67199999999997,128.89,0.0,305.79600000000005,
7.25,-0.25,0.75,0.07481624304311599,8343.518000364305,2.0,2.0,897.0860000000002,4984.724,727.4920000000001,10.606000000000002,0.0,0.0,34.202,2237.742,0.0,0.0,121.03500000000001,
7.6,-0.25,1.0,0.10204105896824718,3832.9909992218018,2.0,0.0,3442.232,2004.347,74.88,33.266,0.0,0.0,58.04899999999999,428.97200000000004,68.278,0.0,210.882,
7.4,0.2,1.0,0.09192955182229205,15490.269999265669,2.0,0.0,2212.954000000001,11360.912999999993,1101.0170000000003,38.452999999999996,0.0,0.0,63.16,1422.5480000000002,0.0,0.0,423.215,
7.6,0.2,1.0,0.04598568913376553,14535.339999437334,1.0,0.0,1130.8419999999996,8928.471999999996,347.42699999999996,18.051,0.0,0.0,42.398,526.5980000000001,0.0,0.0,246.944,
7.6,-0.4,1.0,0.0509029881940343,22086.478000164043,1.0,0.0,1466.2709999999993,9692.133000000003,4464.975,209.937,0.0,0.0,31.933,2688.5360000000014,51.184,0.0,716.1970000000001,
7.2,-0.2,0.8,0.10906106363682745,13973.941999673845,2.0,1.0,817.613,7279.144,650.832,21.070999999999998,0.0,0.0,68.84700000000001,2227.694,63.316,0.0,347.974,
7.6,-0.2,1.0,0.21424877162423497,15482.018999338148,3.0,4.0,864.519,2567.857,125.556,27.267,0.0,0.0,46.205,2368.377,470.773,3.148,315.7629999999999,
7.5,0.0,1.0,0.030478923798963695,5700.562000036242,0.0,0.0,1291.3139999999994,2431.4979999999987,1510.2209999999998,0.0,0.0,0.0,1056.684,27.470000000000002,0.0,0.0,60.33800000000001,
7.6,-0.8,0.8,0.0196753225383989,10807.829999685286,2.0,0.0,1312.0009999999997,4697.3719999999985,1548.4380000000003,465.25300000000004,0.0,0.0,72.58399999999999,2423.933,0.0,0.0,380.19299999999987,
7.0,-0.25,1.0,0.10275824852950448,7873.291999101638,0.0,0.0,5289.913000000001,3834.645,1562.5330000000001,0.0,333.305,0.0,40.472,411.485,41.982,0.0,410.436,
7.8,-0.4,0.75,0.15105145904074724,9175.604999065401,1.0,0.0,844.9630000000003,3550.617999999998,504.862,375.02200000000005,,0.0,185.78300000000002,89.166,272.79799999999994,0.0,112.295,
8.0,-0.4,1.0,0.03706526814765703,15516.951998472214,7.0,4.0,1876.1129999999994,8191.409999999996,470.866,1321.104,,28.098000000000003,44.42999999999999,4918.942000000001,0.0,0.0,269.56899999999996,
7.6,-0.2,1.0,0.07734101929677568,15088.519000768661,,0.0,795.4359999999997,7925.917999999997,352.888,1069.748,,,32.443,771.266,0.0,0.0,11.082999999999998,
8.0,-0.2,1.0,0.07174088489517205,8186.036000728605,,1.0,753.2569999999998,4539.776,2761.9500000000003,296.313,,,40.568999999999996,205.602,143.631,30.101999999999997,125.60499999999999,
8.0,-0.5,1.0,0.13619180837703834,5889.194999456406,,,1758.4380000000006,3381.6890000000003,928.4060000000001,,,,35.525000000000006,494.677,,,0.0,
,,,0.007842595452107337,1788.7339999675771,,,438.347,826.787,318.514,,,,,25.104,,,264.331,
